timestamp,open,high,low,close,volume,support,resis
2023-11-15 17:45:00,61.16,61.75,61.16,61.59,166.90832915,61.22,67.77
2023-11-15 18:00:00,61.56,62.64,61.48,62.37,389.14112396,61.22,67.77
2023-11-15 18:15:00,62.5,63.19,61.54,62.23,1235.9813994,61.22,67.77
2023-11-15 18:30:00,62.23,62.57,61.66,62.57,342.52215008,61.22,67.77
2023-11-15 18:45:00,62.43,62.88,62.43,62.55,198.20628063,61.22,67.77
2023-11-15 19:00:00,62.52,63.24,62.47,62.65,2214.43230102,61.22,67.77
2023-11-15 19:15:00,62.72,65.08,62.7,65.04,2021.72216889,61.22,67.77
2023-11-15 19:30:00,64.92,65.98,64.34,64.71,7686.99113684,61.22,67.77
2023-11-15 19:45:00,64.69,65.34,64.59,65.34,163.46896848,61.22,67.77
2023-11-15 20:00:00,65.38,65.73,65.13,65.51,874.31372682,61.22,67.77
2023-11-15 20:15:00,65.54,67.09,65.53,66.43,1749.82756823,61.22,67.77
2023-11-15 20:30:00,66.59,67.17,65.76,65.91,1618.74357389,61.22,67.77
2023-11-15 20:45:00,65.92,66.46,65.92,66.32,771.86528482,61.22,67.77
2023-11-15 21:00:00,66.45,66.49,66.09,66.14,1453.10961775,61.22,67.77
2023-11-15 21:15:00,65.99,66.25,65.49,65.49,428.14341338,61.22,67.77
2023-11-15 21:30:00,65.53,65.72,65.26,65.68,414.07859763,61.22,67.77
2023-11-15 21:45:00,65.57,65.79,64.93,65.05,475.35434394,61.22,67.77
2023-11-15 22:00:00,64.9,65.1,64.18,65.1,1493.21178821,61.22,67.77
2023-11-15 22:15:00,65.0,65.48,64.83,65.48,203.9204018,61.22,67.77
2023-11-15 22:30:00,65.48,65.57,65.38,65.54,62.89294685,61.22,67.77
2023-11-15 22:45:00,65.52,65.6,65.05,65.21,49.49172604,61.22,67.77
2023-11-15 23:00:00,65.18,65.46,65.18,65.46,474.35140798,61.22,67.77
2023-11-15 23:15:00,65.57,65.66,64.79,64.91,127.55063505,61.22,67.77
2023-11-15 23:30:00,65.14,65.32,65.14,65.26,154.26270655,61.22,67.77
2023-11-15 23:45:00,65.33,65.57,65.07,65.57,90.23012413,61.22,67.77
2023-11-16 00:00:00,65.63,65.84,64.77,65.04,72.02095542,61.22,67.77
2023-11-16 00:15:00,65.3,66.02,65.3,65.75,77.61104391,61.22,67.77
2023-11-16 00:30:00,65.79,65.79,65.09,65.23,142.87699075,61.22,67.77
2023-11-16 00:45:00,65.39,65.69,65.19,65.2,173.69240073,61.22,67.77
